Average Fitness,Maximum Fitness,Dominant Fitness
50.4896,58.4678,42.1209
53.963,59.2814,54.1365
56.1246,60.3213,56.381
57.7845,61.4955,58.9109
58.9313,62.7836,59.7576
59.9272,63.3817,61.2592
60.922,64.8509,62.0428
61.9164,65.0767,62.0428
62.8407,66.7111,63.2016
63.6933,66.8542,64.8509
64.4333,66.9133,64.8509
65.1915,67.5728,65.7978
65.8262,68.021,66.7111
66.236,68.6244,66.7111
66.5867,69.1947,67.119
67.0174,69.4048,68.021
67.4822,69.6877,68.6244
67.8771,70.3031,68.6244
68.2792,70.5231,68.6244
68.6258,70.8039,69.6281
69.0161,71.3519,69.6281
69.4291,71.3633,70.3031
69.7365,71.4656,70.5231
69.9479,72.1001,71.3519
70.163,72.1001,71.3519
70.3696,72.1436,71.3519
70.6109,72.3836,71.3519
70.7846,72.4063,71.8973
71.0123,72.6455,72.1001
71.1019,72.6455,72.1001
71.3292,73.0881,72.4063
71.4623,73.0881,72.4063
71.5261,73.3613,72.6455
71.7093,73.3613,72.6455
71.8593,73.3613,72.6455
71.8311,73.3613,73.0881
72.0451,73.4276,73.0881
72.2608,73.4276,73.3613
72.2788,73.4288,73.3613
72.311,73.4288,73.3613
72.2748,73.4288,73.3613
72.3503,73.4288,73.4276
72.3639,73.4288,73.4276
72.3843,73.4288,73.4276
72.4198,73.5049,73.4276
72.4266,73.5309,73.4288
72.3797,73.5309,73.4288
72.4159,73.5268,73.4288
72.4451,73.5268,73.4288
72.4681,73.6029,73.5049
72.458,73.6029,73.5049
72.5621,73.6029,73.5049
72.4638,73.6029,73.5049
72.5757,73.6029,73.5049
72.4815,73.6029,73.5268
72.5069,73.6029,73.6029
72.5358,73.6029,73.6029
72.5534,73.6029,73.6029
72.5777,73.6029,73.6029
72.5902,73.6029,73.6029
72.5409,73.6029,73.6029
72.5912,73.6029,73.6029
72.5129,73.6029,73.6029
72.5989,73.6029,73.6029
72.52,73.6029,73.6029
72.573,73.6029,73.6029
72.5878,73.6029,73.6029
72.59,73.6029,73.6029
72.592,73.6029,73.6029
72.5944,73.6029,73.6029
72.5995,73.6029,73.6029
72.5945,73.6029,73.6029
72.5525,73.6029,73.6029
72.5323,73.6029,73.6029
72.626,73.6029,73.6029
72.6557,73.6029,73.6029
72.5743,73.6029,73.6029
72.5823,73.6029,73.6029
72.6209,73.6029,73.6029
72.5849,73.705,73.6029
72.6109,73.705,73.6029
72.5325,73.705,73.6029
72.5283,73.705,73.6029
72.5695,73.705,73.6029
72.6178,73.705,73.6029
72.6108,73.705,73.705
72.5865,73.705,73.705
72.7087,73.705,73.705
72.6835,73.705,73.705
72.6884,73.705,73.705
72.5906,73.705,73.705
72.5684,73.705,73.705
72.6193,73.705,73.705
72.6668,73.705,73.705
72.6468,73.705,73.705
72.685,73.705,73.705
72.5677,73.705,73.705
72.658,73.767,73.705
72.6465,73.767,73.705
72.621,73.767,73.705
