Average Fitness,Maximum Fitness,Dominant Fitness
49.8618,58.4413,41.8675
53.4815,61.5345,53.9365
55.8208,61.5345,55.0674
57.693,63.53,57.7975
59.3314,65.1858,61.5345
60.9817,65.626,61.5345
62.3558,66.3742,63.53
63.6347,67.4648,65.1858
64.7035,67.5299,65.1858
65.5553,68.3828,66.3742
66.249,69.2959,67.4825
66.9288,69.2959,67.4825
67.4008,70.9075,68.3828
67.9073,71.4382,68.7238
68.3346,71.5021,69.2959
68.902,71.5021,69.8923
69.4723,71.5329,69.8923
69.9495,71.9528,71.034
70.3209,72.289,71.034
70.4933,72.3427,71.5021
70.735,72.748,71.5021
70.9473,72.8424,71.9221
71.2335,73.1933,71.9221
71.4302,73.3859,72.3427
71.5622,73.3859,72.748
71.7815,73.4267,72.791
71.9063,73.7208,72.791
72.066,74.0883,73.3859
72.2248,74.0883,73.3859
72.3984,74.0883,73.3859
72.4021,74.0883,73.4267
72.551,74.3513,73.4267
72.6312,74.392,73.7208
72.7828,74.4122,73.878
72.816,74.4122,73.878
73.0237,74.5396,74.0883
73.1715,74.5396,74.106
73.2587,74.8634,74.392
73.2945,74.9127,74.392
73.3308,75.0023,74.392
73.4765,75.1082,74.5396
73.5784,75.7699,74.5396
73.6791,75.7699,74.8045
73.8381,75.7699,75.0023
74.0184,75.7699,75.0023
74.1428,75.7699,75.1082
74.3725,75.7699,75.7699
74.5595,75.7699,75.7699
74.6152,75.7699,75.7699
74.6337,75.7699,75.7699
74.613,75.7699,75.7699
74.6704,75.7699,75.7699
74.5703,75.7699,75.7699
74.595,75.7699,75.7699
74.6028,75.7699,75.7699
74.6578,75.7699,75.7699
74.5966,76.0312,75.7699
74.6899,76.0312,75.7699
74.6593,76.0312,75.7699
74.7252,76.0312,75.7699
74.6615,76.1272,75.7699
74.7503,76.1272,75.7699
74.8447,76.1601,76.0312
74.8965,76.1601,76.0312
74.8818,76.1601,76.0312
74.9565,76.1601,76.1272
74.9073,76.1601,76.1272
74.9448,76.1601,76.1272
74.93,76.1601,76.1272
75.0026,76.1601,76.1601
74.9713,76.1601,76.1601
74.9931,76.1601,76.1601
74.9158,76.1601,76.1601
74.9792,76.1601,76.1601
74.9425,76.1601,76.1601
74.9402,76.1601,76.1601
74.9786,76.1601,76.1601
74.98,76.1601,76.1601
75.057,76.1601,76.1601
74.9662,76.1601,76.1601
75.0288,76.1601,76.1601
75.013,76.1601,76.1601
74.9672,76.1601,76.1601
75.0604,76.1601,76.1601
75.0073,76.1601,76.1601
74.8879,76.1601,76.1601
74.8785,76.1601,76.1601
74.9528,76.1601,76.1601
74.9682,76.1601,76.1601
74.9727,76.1601,76.1601
74.9407,76.1601,76.1601
74.9869,76.1601,76.1601
74.9946,76.1601,76.1601
75.0095,76.1601,76.1601
74.9047,76.1601,76.1601
74.9999,76.1601,76.1601
74.9061,76.1601,76.1601
74.9387,76.1601,76.1601
74.9444,76.1601,76.1601
74.9913,76.1601,76.1601
