Average Fitness,Maximum Fitness,Dominant Fitness
50.2242,58.3865,41.1206
53.7463,59.5998,54.5545
56.0406,60.5195,57.3159
57.543,60.8568,59.5998
58.6169,62.705,59.5998
59.5571,63.1238,59.5998
60.4616,63.5516,60.5195
61.3366,63.7545,62.705
61.9864,64.5842,62.705
62.5317,65.0378,63.1238
62.9179,66.6315,63.1238
63.2836,67.0434,63.8687
63.7313,66.6315,66.6315
64.4151,67.2968,66.6315
65.1605,67.8347,66.6315
65.7378,67.8347,66.6315
66.0607,67.992,66.6315
66.4333,68.2619,67.2968
66.7221,68.7548,67.738
66.944,68.8938,67.738
67.2195,68.8938,68.0165
67.4657,69.5855,68.2619
67.7037,69.5855,68.8938
67.9645,69.9958,68.8938
68.1593,69.9958,68.8938
68.392,70.0126,69.5855
68.6847,70.3378,69.5855
68.8174,70.7327,69.5855
68.9251,70.7327,69.9958
69.1869,70.9758,69.9958
69.3439,70.9758,70.2917
69.5097,71.3211,70.6538
69.7018,71.3211,70.6538
69.8693,71.4587,70.6538
69.9653,71.7925,70.9758
70.1286,71.7925,70.9758
70.2078,71.7925,71.3211
70.4005,71.8717,71.3211
70.5862,71.8717,71.3211
70.6788,71.9882,71.7925
70.7819,72.0674,71.7925
70.8717,72.0674,71.7925
70.9166,72.0733,71.9882
71.0012,72.0733,71.9882
71.0126,72.1525,71.9882
71.0363,72.1525,71.9882
71.0769,72.1525,72.0733
71.1062,72.17,72.0733
71.0968,72.1742,72.1525
71.1291,72.1742,72.1525
71.216,72.1918,72.1525
71.1743,72.1918,72.1525
71.1992,72.1918,72.17
71.2133,72.1918,72.1742
71.182,72.1918,72.1742
71.1866,72.1918,72.1742
71.2109,72.1918,72.1918
71.2258,72.1918,72.1918
71.1912,72.1918,72.1918
71.1717,72.2112,72.1918
71.172,72.2112,72.1918
71.1838,72.2112,72.1918
71.2181,72.2112,72.1918
71.2084,72.2112,72.1918
71.2388,72.2112,72.1918
71.2093,72.2112,72.2112
71.176,72.2112,72.2112
71.2311,72.2112,72.2112
71.2535,72.2112,72.2112
71.1998,72.2112,72.2112
71.2141,72.2112,72.2112
71.2695,72.2112,72.2112
71.2307,72.2112,72.2112
71.179,72.2112,72.2112
71.2337,72.2112,72.2112
71.1882,72.2112,72.2112
71.2313,72.2112,72.2112
71.1795,72.2112,72.2112
71.1895,72.2174,72.2112
71.2732,72.2174,72.2112
71.2009,72.2174,72.2112
71.2227,72.2174,72.2112
71.2123,72.2174,72.2112
71.1884,72.2174,72.2112
71.2367,72.2174,72.2174
71.2786,72.2174,72.2174
71.2037,72.348,72.2174
71.1838,72.348,72.2174
71.2077,72.348,72.2174
71.2511,72.348,72.2174
71.2712,72.348,72.2174
71.2835,72.348,72.2174
71.3435,72.348,72.2174
71.3519,72.348,72.348
71.4195,72.348,72.348
71.3747,72.348,72.348
71.3927,72.348,72.348
71.3648,72.348,72.348
71.3185,72.348,72.348
71.3944,72.348,72.348
