Fitness,Genome
58.5287,0000001101101010000100110011101111101011010000110011011000111001010001101111100110001100011110110111
58.5287,0000001101101010000100110011101111101011010000110011011000111001010001101111100110001100011110110111
60.0663,0000001101101000000100110011101111101011010000110011011000111001010001101111100110001100011110010111
61.1616,0000001101101010000100110011101111101111010000110010011000111001010001101111100110001100001110110111
61.8805,0000001101101010000100110011101111101111010000110010011000111001011001101111100110001100001110110111
63.5939,0000001101101000000100110011101111101111010000110010011000111001011001101111100110001100001110110111
63.6237,0000001001101000000100110011101111101101010000110010011000111001011001101111100110001100001110110111
64.2614,0000001101101000000100110011101111101110010000110010011000111001011001101111100110001100001110110111
64.6928,0000001101101000000100110011101111101110010000110010011000111001011001111111100110001100001110110111
64.783,0000001001101000000100110011101111101101010000100010011000111001011001101111100110001110001110110111
64.9911,0000001001101000000100110011101111101101010000100100011000111001011001101111100110001110001110110111
65.2884,0000001011101000000100110011101111101101000000111010011000111001011001101111100110000110001110110111
65.8521,0000001101101000000100110011101111101110010000100010011000111001011001111111100110001110001110110111
65.9607,0000001101101000000100110011101111101110010000110010011000111001011001111101100110001110001110110111
66.2572,0000001101101000000100100011101111101101010000100010011000111001011001111111100110001110001010010111
67.1185,0000001011101000000100100011101110101101000000110010011000111001011001100011100110001110001010010111
67.1185,0000001011101000000100100011101110101101000000110010011000111001011001100011100110001110001010010111
67.3218,0000001011101000000100100011101110101101000000110010011000111001011001100011100111001110001010010111
67.3804,0000001011101000000100100011101110101101000000100010011000111001011001100011100110001110001010010111
67.5836,0000001011101000000100100011101110101101000000100010011000111001011001100011100111001110001010010111
67.7708,0000001011101000000100100011101110101101000000110010011000111001011001100011100111001110001011010011
67.9643,0000001011101000000100100011101110101101000000110010011000111001011001000011100111001110001011000111
67.9736,0000001011101000000100100011101110101101000000100010011000111001011001000011100111001110001010010011
68.0454,0000001011101001010100100011101111101101000000110010011000111001011001100011100111001110001010010011
68.2527,0000001011101000000100100011101110101101000000110010011000111001011001100011100111001110001011000011
68.3311,0000001011101000000100100011101111101101000000100010011000111001011001100011100111001110001011010011
68.4372,0000001011101000010100100011101110101101000000110010011000111001011001100011100111001110001011000011
68.7353,0000001011101000000100100011101110101101000000110010011000111001011001000011100111001110001011100011
68.7353,0000001011101000000100100011101110101101000000110010011000111001011001000011100111001110001011100011
68.7353,0000001011101000000100100011101110101101000000110010011000111001011001000011100111001110001011100011
68.9972,0000001011101000000100100011101110101101000000100010011000111001011001000011100111001110001011100011
69.1418,0000001011101000000100100011101111101101000000100010011000111001011001100011100111001110001011100011
69.1418,0000001011101000000100100011101111101101000000100010011000111001011001100011100111001110001011100011
69.1418,0000001011101000000100100011101111101101000000100010011000111001011001100011100111001110001011100011
69.2956,0000001011101000000100100011101111101101000000100010011000111001011001000011100111001110001011100011
69.4801,0000001011101000010100100011101111101101000000100010011000111001011001000011100111001110001011100011
69.3263,0000001011101000010100100011101111101101000000100010011000111001011001100011100111001110001011100011
69.7114,0000001011101000010100100011101111101101000000100001011000111001011001100011100111001110001011100011
69.6161,0000001011101000010100100011101111101101000000000001011000111001011001100011100111001110001011100011
69.527,0000001011101000000100100011101111101101000000100001011000111001011001100011100111001110001011100011
69.527,0000001011101000000100100011101111101101000000100001011000111001011001100011100111001110001011100011
69.6807,0000001011101000000100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.6807,0000001011101000000100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8652,0000001011101000010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8652,0000001011101000010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8697,0000001011101001010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8697,0000001011101001010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8652,0000001011101000010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.8652,0000001011101000010100100011101111101101000000100001011000111001011001000011100111001110001011100011
69.9148,0000001011101000000100100011101111101101000000100001110000111001011001000011100111001110001011100011
69.9148,0000001011101000000100100011101111101101000000100001110000111001011001000011100111001110001011100011
70.0992,0000001011101000010100100011101111101101000000100001110000111001011001000011100111001110001011100011
70.0992,0000001011101000010100100011101111101101000000100001110000111001011001000011100111001110001011100011
70.0992,0000001011101000010100100011101111101101000000100001110000111001011001000011100111001110001011100011
