Average Fitness,Maximum Fitness,Dominant Fitness
48.8956,58.5287,40.0802
52.4296,58.5287,52.5658
54.7481,60.0663,55.9794
56.4382,61.1616,58.5287
57.9851,61.8805,58.5287
59.1388,63.5939,59.4876
60.1044,63.6237,61.1616
60.9247,64.2614,61.5351
61.792,64.6928,63.5939
62.625,64.783,63.5939
63.1889,64.9911,63.5939
63.5962,65.2884,64.2659
63.9634,65.8521,64.6928
64.2191,65.9607,64.6928
64.4664,66.2572,65.3004
64.7503,67.1185,65.697
65.0217,67.1185,65.697
65.308,67.3218,65.8521
65.6394,67.3804,66.2572
66.0303,67.5836,67.1185
66.372,67.7708,67.1185
66.5315,67.9643,67.3218
66.6876,67.9736,67.3218
66.837,68.0454,67.5836
66.9273,68.2527,67.5836
67.0002,68.3311,67.7708
67.0924,68.4372,67.9736
67.1615,68.7353,67.9736
67.228,68.7353,68.0454
67.3585,68.7353,68.0454
67.4334,68.9972,68.3311
67.6175,69.1418,68.3708
67.7269,69.1418,68.7353
67.8962,69.1418,68.7353
68.0257,69.2956,68.7353
68.0918,69.4801,68.9972
68.1594,69.3263,69.1418
68.2498,69.7114,69.1418
68.343,69.6161,69.1418
68.4354,69.527,69.2956
68.4868,69.527,69.2956
68.4806,69.6807,69.3263
68.5464,69.6807,69.4801
68.6136,69.8652,69.4801
68.6957,69.8652,69.527
68.7153,69.8697,69.527
68.726,69.8697,69.527
68.8036,69.8652,69.527
68.9064,69.8652,69.8652
68.9492,69.9148,69.8652
69.0122,69.9148,69.8652
68.9745,70.0992,69.8652
69.0103,70.0992,69.8652
69.0666,70.0992,69.8652
69.0665,70.0992,69.8697
69.0493,70.1038,69.8697
69.0408,70.0992,69.9148
69.1621,70.2243,70.0992
69.1879,70.9914,70.0992
69.2568,71.2068,70.0992
69.3458,71.2114,70.0992
69.3446,71.2114,70.1924
69.5812,71.2114,70.1924
69.8231,71.2114,70.9914
70.0378,71.2114,71.2068
70.1295,71.2114,71.2068
70.2085,71.2114,71.2114
70.2806,71.2114,71.2114
70.3252,71.2114,71.2114
70.3187,71.2114,71.2114
70.2973,71.2114,71.2114
70.2246,71.2114,71.2114
70.3281,71.2114,71.2114
70.3056,71.2114,71.2114
70.2751,71.2114,71.2114
70.3504,71.4846,71.2114
70.3081,71.4846,71.2114
70.3475,71.4846,71.2114
70.2423,71.4846,71.2114
70.3577,71.4846,71.2114
70.4041,71.4893,71.2114
70.5449,71.4893,71.4846
70.4828,71.4893,71.4846
70.5675,71.5151,71.4846
70.5629,71.5151,71.4846
70.5867,71.5151,71.4846
70.5901,71.5376,71.4893
70.6334,71.5376,71.4893
70.6096,71.6144,71.4893
70.5779,71.6144,71.5151
70.603,71.6144,71.5151
70.6953,71.6144,71.5376
70.6359,71.6144,71.5376
70.6632,71.8845,71.555
70.6137,71.8845,71.555
70.6479,71.8845,71.6144
70.6958,71.8845,71.6144
70.7415,71.9253,71.6144
70.8309,71.9253,71.6144
70.8643,71.9253,71.8845
