Average Fitness,Maximum Fitness,Dominant Fitness
49.4488,57.0968,40.2596
52.9726,58.0206,54.6724
55.1499,58.6128,57.0968
56.523,59.6746,57.0968
57.517,60.6773,57.4861
58.4166,61.7343,59.366
59.273,62.6581,59.366
60.2152,62.9174,60.6773
61.024,63.8669,61.4658
61.8078,64.6341,62.367
62.3945,64.9036,62.9174
63.087,65.7503,63.8669
63.6699,65.9387,64.4788
64.1293,66.7312,64.9272
64.6045,67.0229,65.6176
65.0896,67.2435,65.9093
65.494,67.6229,66.3797
65.8995,67.8897,67.0229
66.1303,68.3251,67.0229
66.4869,68.4321,67.423
66.9272,69.005,67.423
67.1763,69.734,67.8729
67.5388,69.9146,68.2289
67.8402,70.2738,68.8044
68.16,70.438,68.8044
68.4938,70.7074,69.734
68.8251,70.9366,69.734
69.0756,70.9941,69.734
69.3719,71.2083,70.1262
69.549,71.2814,70.7074
69.6813,71.4691,70.7074
69.9925,71.815,70.7074
70.1773,71.926,71.2463
70.1959,71.926,71.2814
70.3314,72.141,71.3758
70.5536,72.141,71.815
70.6489,72.3097,71.815
70.8238,72.34,71.815
70.9943,72.34,72.141
71.0834,72.551,72.141
71.1152,72.6955,72.141
71.1715,72.6955,72.3097
71.2857,72.6955,72.3097
71.3589,73.0494,72.3251
71.4477,73.0494,72.3251
71.5033,73.0494,72.6955
71.6837,73.0494,72.6955
71.7455,73.1969,72.6955
71.7989,73.2051,73.0494
71.9519,73.2492,73.0494
72.0179,73.2953,73.0494
71.9683,73.308,73.0494
72.0874,73.308,73.0494
72.1463,73.384,73.2051
72.1912,73.4064,73.2051
72.1754,73.4064,73.2953
72.2922,73.4064,73.2953
72.3696,73.4951,73.308
72.2743,73.4951,73.384
72.3169,73.4951,73.4064
72.3416,73.4951,73.4064
72.3516,73.4951,73.4064
72.3675,73.4951,73.4951
72.3289,73.4951,73.4951
72.3686,73.4951,73.4951
72.4412,73.4951,73.4951
72.4095,73.4951,73.4951
72.4627,73.4951,73.4951
72.409,73.4951,73.4951
72.4082,73.4951,73.4951
72.4121,73.4951,73.4951
72.4378,73.4951,73.4951
72.437,73.4951,73.4951
72.4399,73.4951,73.4951
72.406,73.4951,73.4951
72.4329,73.4951,73.4951
72.3501,73.4951,73.4951
72.3833,73.4951,73.4951
72.4788,73.4951,73.4951
72.4579,73.4951,73.4951
72.4341,73.4951,73.4951
72.4332,73.4951,73.4951
72.3747,73.4951,73.4951
72.3352,73.4951,73.4951
72.3582,73.4951,73.4951
72.3677,73.4951,73.4951
72.3931,73.4951,73.4951
72.4582,73.4951,73.4951
72.432,73.4951,73.4951
72.371,73.4951,73.4951
72.4243,73.4951,73.4951
72.4351,73.4951,73.4951
72.3769,73.4951,73.4951
72.4679,73.4951,73.4951
72.4624,73.4951,73.4951
72.4506,73.4951,73.4951
72.4148,73.4951,73.4951
72.3907,73.4951,73.4951
72.3378,73.4951,73.4951
72.4358,73.4951,73.4951
