Average Fitness,Maximum Fitness,Dominant Fitness
49.782,57.9112,37.1772
53.0045,58.5804,55.6497
55.0625,59.0257,55.6497
56.7173,60.3734,56.9558
57.874,61.211,58.5804
58.7695,62.2863,59.6847
59.5115,62.5686,59.6847
60.3611,63.016,60.8499
61.1622,64.091,62.2823
61.9344,64.577,62.5686
62.4935,65.5442,63.016
63.0318,65.5103,64.091
63.6243,66.352,64.091
64.1507,66.4183,64.7192
64.6476,66.9913,65.5103
65.1049,67.0238,65.5103
65.5327,67.4489,66.352
65.874,67.6405,66.352
66.1893,67.9555,67.0238
66.4273,67.9678,67.0238
66.6827,68.6294,67.5314
66.9334,68.9382,67.5314
67.1409,68.8088,67.7101
67.4173,69.1081,68.5587
67.7332,69.4217,68.5587
67.9076,69.6435,68.5587
68.1272,69.6435,68.8088
68.3285,69.7811,69.0953
68.4995,70.1052,69.366
68.6518,70.1052,69.6435
68.7881,70.167,69.6435
68.9311,70.3446,69.6435
68.974,70.4099,69.7811
69.1329,70.7431,70.1052
69.3144,70.7431,70.1052
69.4196,71.1401,70.2603
69.6328,71.1401,70.4099
69.7357,71.1401,70.7431
69.9447,71.2335,70.7431
70.0587,71.2822,70.7431
70.1622,71.4593,71.1401
70.2517,71.6288,71.1401
70.358,71.6325,71.1401
70.434,71.8856,71.2335
70.4683,71.979,71.2822
70.5872,71.979,71.6288
70.7809,71.979,71.6288
70.8794,71.979,71.8856
70.9913,71.979,71.8856
70.9786,71.979,71.979
70.9851,72.3449,71.979
70.9844,72.6619,71.979
71.0302,72.6619,71.979
71.0512,72.6619,71.979
71.0743,72.6619,71.979
71.1224,72.6619,71.979
71.1706,72.6619,71.979
71.3706,72.8223,72.6619
71.572,72.8909,72.6619
71.7002,72.8909,72.6619
71.72,72.8909,72.6619
71.7569,73.18,72.6619
71.8133,73.18,72.8909
71.9567,73.18,72.8909
71.9486,73.18,72.8909
71.925,73.18,72.8909
71.9736,73.3077,72.8909
72.1145,73.494,73.18
72.1555,73.494,73.18
72.2201,73.494,73.18
72.2253,73.5077,73.18
72.3533,73.614,73.494
72.4504,73.614,73.494
72.5271,73.614,73.494
72.5447,73.6216,73.494
72.5365,73.6216,73.494
72.5109,73.9279,73.5077
72.499,73.9279,73.5077
72.5463,73.9279,73.5077
72.604,73.9417,73.614
72.6243,73.9417,73.614
72.7383,73.9417,73.6216
72.7962,73.9456,73.9279
72.8294,73.9456,73.9279
72.9615,73.9456,73.9279
72.9819,73.9456,73.9279
72.9064,73.9456,73.9417
72.8855,73.9456,73.9417
72.821,74.0572,73.9417
72.8926,74.0572,73.9456
72.939,74.0572,73.9456
72.8989,74.0572,73.9456
72.9101,74.0709,73.9456
72.9326,74.0709,74.0572
72.9285,74.0709,74.0572
72.9943,74.0709,74.0572
73.0418,74.0709,74.0572
72.9924,74.0709,74.0709
73.0168,74.0709,74.0709
73.048,74.0709,74.0709
