Average Fitness,Maximum Fitness,Dominant Fitness
50.9079,59.4461,42.8008
54.4515,60.7226,55.9336
56.5759,61.25,56.6704
58.2229,61.6564,59.4461
59.5478,63.5743,60.7226
60.4795,64.375,61.25
61.2462,65.1815,61.25
62.1548,65.3494,62.654
63.2107,65.9904,64.375
64.0745,66.078,64.6936
64.6013,66.9717,64.9222
65.0048,67.3436,65.5708
65.4049,67.801,66.0097
65.812,68.0275,66.3855
66.2459,68.0275,67.27
66.5706,68.3822,67.27
66.8414,68.8329,67.7348
67.1335,69.2024,67.7348
67.3542,69.29,68.0275
67.6971,69.7095,68.5744
67.9658,70.0348,68.8329
68.1721,70.1496,68.8329
68.4265,70.2063,69.29
68.6793,70.3768,69.7095
68.9339,71.0367,69.7095
69.1506,71.0367,69.7095
69.3033,71.1206,70.1496
69.4998,71.1206,70.3768
69.7009,71.3011,71.0367
69.9255,71.4368,71.0367
70.0784,71.8427,71.0367
70.2552,71.8427,71.0367
70.3777,72.1493,71.3011
70.4496,72.1493,71.3011
70.6525,72.1493,71.8427
70.8896,72.1537,71.8427
70.895,72.1537,71.8427
71.0561,72.2012,72.1493
71.0957,72.2012,72.1493
71.1222,72.2012,72.1493
71.1792,72.2055,72.1493
71.2487,72.2055,72.1493
71.2572,72.6867,72.2012
71.2576,72.6867,72.2012
71.2492,72.9776,72.2055
71.3309,72.9776,72.2055
71.4968,72.9776,72.2055
71.5742,72.9776,72.6867
71.6516,72.9776,72.6867
71.6889,72.9776,72.6867
71.7078,72.982,72.6867
71.7065,72.9776,72.6911
71.8418,72.982,72.6911
71.9088,72.982,72.9776
72.0361,72.982,72.9776
72.0132,72.982,72.9776
72.0313,72.982,72.9776
72.0744,72.982,72.9776
72.0348,72.982,72.982
72.0313,72.982,72.982
72.0673,72.982,72.982
72.0538,72.982,72.982
72.069,72.982,72.982
71.9151,72.982,72.982
72.0153,72.982,72.982
71.9921,72.982,72.982
71.9833,72.982,72.982
71.996,72.982,72.982
72.0657,72.982,72.982
72.0513,72.982,72.982
71.9988,72.982,72.982
72.008,72.982,72.982
72.0073,72.982,72.982
72.0157,72.982,72.982
72.028,72.982,72.982
72.0807,72.982,72.982
72.0224,72.982,72.982
72.0246,72.982,72.982
72.0576,72.982,72.982
72.0547,73.5743,72.982
72.0063,73.5743,72.982
72.0573,73.5743,72.982
72.0289,73.5743,72.982
72.0389,73.5743,72.982
72.137,73.6109,72.982
72.3138,73.6809,72.982
72.4425,73.6971,73.5743
72.5525,73.6971,73.5743
72.5836,73.8424,73.5743
72.6393,73.8424,73.6109
72.6593,73.8424,73.6109
72.7043,73.8424,73.6971
72.7708,73.8424,73.6971
72.8145,74.0216,73.8424
72.8323,74.0216,73.8424
72.842,74.2647,73.8424
72.8586,74.2647,73.8424
72.9305,74.2647,73.8424
72.9703,74.2647,74.0216
73.1815,74.2647,74.0216
