Fitness,Genome
59.4461,0101011110101000010110100001100010000100011000100010010110010000100101101100010100010001000000111101
60.7226,0000011101001111101101011111101010000100110011010110101110111101000100010111000011001110010110110110
61.25,0000011101001111101101011111101010000100111011010010101110111101000100010111000011001110010110110110
61.6564,0000011001001111001101011111101010000100111011010010101110111101000100010111000011001110010110110110
63.5743,0111110100101001110111111001101110000100001000110011001001101001010100000011011110110010010111101101
64.375,0111110100101001110111111001101110000100001000110011001001101001010100000011011110110010010011101101
65.1815,0111110100101001111111111000101110000100001000110011001001101001010100000011011110110010010111101101
65.3494,1111110100101001110111111001101110000100001000110111001001101001010100000011011100110010010011101101
65.9904,1101110100101001111111111001101110000100001000110111001001101001010100000011011110110010010011101101
66.078,0101110100101001111111111000101110000100001000110011001001101001000100000011011110110010010111101101
66.9717,0101110100101001111111111000101110000100001000110001001001101001000100000011011110110010010111101101
67.3436,0101110100101001111111111000101110000100001000110001001001101001000100000011001110110010010111101101
67.801,0101010100101001111111111000001110000100001000110001001001110001010100000011001010110010010111001101
68.0275,0101110100101001111111111000001110000100001000110001001001101001010100000011011110110010010110101101
68.0275,0101110100101001111111111000001110000100001000110001001001101001010100000011011110110010010110101101
68.3822,0101110100101001111111111000001110000100001000110001001001101001000100000001001100110010010111101101
68.8329,0101010100101001111111111000001110000100001000110001001001110001010100000011001011110010010101001101
69.2024,0101110100111001111111111000101110000100001000110001001001101001000100000011001100010010010110101101
69.29,0101011100101001111111111000001110000100001000110001001001110001010100000011100011110010010111001101
69.7095,0101110100101001111111111000001110000100001000100001001011011001000100000011001110110010010110111101
70.0348,0101110100101001111111111000001110000100001000110001001001101001000100000001001100010010010011101101
70.1496,0101010100101001111111111110001110000100001000110001001001110001010100000011100011110010010110001101
70.2063,0101011100101001111111111000001110000100001000110001001001110001010100000011100011110010010101001101
70.3768,0101010100101001111111111000001110010100001000110001001011110001010100000011100011110010010101001101
71.0367,0101010100101001111111111110001110000100001000110001001001110001010100000011100011110010010110101101
71.0367,0101010100101001111111111110001110000100001000110001001001110001010100000011100011110010010110101101
71.1206,0101010100111001111111111000001110000100001000110001001001110001010100000011100011111000010101001101
71.1206,0101010100111001111111111000001110000100001000110001001001110001010100000011100011111000010101001101
71.3011,0101010100101001111111111110001110000100001000100001001001110001010100000011100011110010010110101101
71.4368,0101010100101001111111111110001110000100001000100001001001110101010100000011100011110010000100101101
71.8427,0101010100101001111111111110001110000100001000100001001001110101000100000011100011110010010101001101
71.8427,0101010100101001111111111110001110000100001000100001001001110101000100000011100011110010010101001101
72.1493,0101010100101001111111111110001110000100001000100001001001110101010100000011100011100110010101001101
72.1493,0101010100101001111111111110001110000100001000100001001001110101010100000011100011100110010101001101
72.1493,0101010100101001111111111110001110000100001000100001001001110101010100000011100011100110010101001101
72.1537,0101110100101001111111111110001110000100001000100001001001110101010100000011100011100110010101001101
72.1537,0101110100101001111111111110001110000100001000100001001001110101010100000011100011100110010101001101
72.2012,0101010100101001111111111110001110000100001000100001001001110101000100000011100011100110010101001101
72.2012,0101010100101001111111111110001110000100001000100001001001110101000100000011100011100110010101001101
72.2012,0101010100101001111111111110001110000100001000100001001001110101000100000011100011100110010101001101
72.2055,0101110100101001111111111110001110000100001000100001001001110101000100000011100011100110010101001101
72.2055,0101110100101001111111111110001110000100001000100001001001110101000100000011100011100110010101001101
72.6867,0101010100101001111111111110001110000100001000100001001001110101000100000011100011100110010000101101
72.6867,0101010100101001111111111110001110000100001000100001001001110101000100000011100011100110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.9776,0101010100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
72.982,0101110100101001111111111110001110000100001000100001001001110101000100000011100011001110010000101101
73.5743,0101110100101001111111111110001110000100001000100001001011000101000100000011100011001110010000101101
73.5743,0101110100101001111111111110001110000100001000100001001011000101000100000011100011001110010000101101
73.5743,0101110100101001111111111110001110000100001000100001001011000101000100000011100011001110010000101101
73.5743,0101110100101001111111111110001110000100001000100001001011000101000100000011100011001110010000101101
73.5743,0101110100101001111111111110001110000100001000100001001011000101000100000011100011001110010000101101
73.6109,0101110100101001010110111110001110000100001000100001001011000101000100000011100011001110010000101101
73.6809,0101110100101001111111111110001110000100001000001001001011000101000100000011100011001110010000101101
73.6971,0101110100101001010110011110001110000100001000100001001011000101000100000011100011001110010000101101
73.6971,0101110100101001010110011110001110000100001000100001001011000101000100000011100011001110010000101101
73.8424,0101110100101001010110110110001110000100001000100001001011000101000100000011100011001110010000101101
73.8424,0101110100101001010110110110001110000100001000100001001011000101000100000011100011001110010000101101
73.8424,0101110100101001010110110110001110000100001000100001001011000101000100000011100011001110010000101101
73.8424,0101110100101001010110110110001110000100001000100001001011000101000100000011100011001110010000101101
73.8424,0101110100101001010110110110001110000100001000100001001011000101000100000011100011001110010000101101
74.0216,0101110100101001010110110010001110000100001000100001001011000101000100000011100011001110010000101101
74.0216,0101110100101001010110110010001110000100001000100001001011000101000100000011100011001110010000101101
74.2647,0101110100101001010110110011001110000100001000100001001011000101000100000011100011001110010000101101
