Average Fitness,Maximum Fitness,Dominant Fitness
50.1645,58.8637,40.3512
53.76,59.8443,54.3408
56.5975,60.6986,57.511
58.4027,61.9591,59.3502
59.3406,62.4695,59.6098
60.154,63.7175,60.4342
61.056,64.9627,61.9591
61.8404,65.3828,62.4695
62.6003,66.1933,63.7175
63.3212,66.7155,63.7175
64.1542,67.4527,65.1889
64.9256,67.9477,66.1933
65.6324,68.4828,66.1933
66.1596,68.6854,67.9477
66.6884,69.3359,67.9477
67.1806,69.6758,67.9477
67.5733,69.8662,68.6854
67.9547,70.0751,68.6854
68.2809,70.1401,69.6758
68.7591,70.3925,69.7434
69.0225,70.4959,69.7434
69.0686,70.7749,69.8605
69.314,71.0113,70.1401
69.4619,71.0113,70.4959
69.6998,71.466,70.4959
69.8176,71.466,70.7749
70.0579,71.6199,71.0113
70.0873,71.7312,71.0113
70.2902,72.1562,71.303
70.4624,72.1576,71.303
70.6213,72.1943,71.466
70.799,72.3151,71.7312
70.9832,72.5827,72.1562
71.1062,72.5827,72.1576
71.1866,72.5915,72.1576
71.2325,72.7757,72.1576
71.3221,72.7757,72.1943
71.405,72.9346,72.5827
71.5969,72.9346,72.5827
71.6828,72.9346,72.7415
71.7866,73.0617,72.7415
71.7848,72.9346,72.7415
71.8122,73.0529,72.7757
71.8749,73.0617,72.8687
71.8505,73.0617,72.9346
71.9712,73.0617,72.9346
71.9255,73.0617,72.9346
72.0142,73.0617,73.0529
72.0604,73.0617,73.0617
71.9747,73.0617,73.0617
72.0574,73.0617,73.0617
72.075,73.0617,73.0617
71.9943,73.138,73.0617
72.0316,73.138,73.0617
72.0572,73.138,73.0617
71.9796,73.138,73.0617
72.0618,73.138,73.0617
71.9375,73.138,73.0617
72.0482,73.138,73.0617
72.0008,73.138,73.0617
72.0748,73.138,73.138
72.0676,73.138,73.138
72.0638,73.138,73.138
72.0713,73.138,73.138
72.1134,73.138,73.138
72.0788,73.138,73.138
72.1638,73.138,73.138
72.1042,73.138,73.138
72.1647,73.138,73.138
72.0678,73.138,73.138
72.0954,73.138,73.138
72.1312,73.138,73.138
72.1472,73.138,73.138
72.1572,73.138,73.138
72.1651,73.138,73.138
72.1477,73.138,73.138
72.0762,73.138,73.138
72.0981,73.138,73.138
72.0995,73.138,73.138
72.0798,73.138,73.138
72.1219,73.138,73.138
72.0283,73.138,73.138
72.1032,73.138,73.138
72.1245,73.138,73.138
72.0965,73.138,73.138
72.0282,73.138,73.138
72.043,73.138,73.138
72.1421,73.138,73.138
72.1111,73.138,73.138
72.0738,73.138,73.138
72.0964,73.138,73.138
72.1444,73.138,73.138
72.1142,73.138,73.138
72.0689,73.138,73.138
72.0682,73.138,73.138
72.1116,73.138,73.138
72.1362,73.138,73.138
72.1166,73.138,73.138
72.1135,73.138,73.138
72.1568,73.138,73.138
