Average Fitness,Maximum Fitness,Dominant Fitness
50.805,60.9683,43.2765
54.2655,60.9683,57.0286
56.5134,61.0179,57.274
58.1224,61.7277,60.9683
59.5863,63.0454,60.9683
60.6748,63.7214,60.9683
61.573,64.6315,63.0454
62.383,65.2439,63.7214
63.0986,65.5177,63.7214
63.7431,66.164,65.2262
64.3365,66.8331,65.2262
64.7453,66.8331,65.2262
65.0505,67.2864,65.8741
65.4904,67.5839,66.1837
65.7886,68.2693,66.8331
66.0821,68.2693,66.8331
66.3881,68.867,66.8331
66.7804,69.1475,67.5839
67.1084,69.1475,68.1227
67.3524,69.6454,68.1227
67.6353,69.7713,68.2693
68.0151,69.7713,69.1475
68.3456,70.14,69.1475
68.5234,70.5227,69.6454
68.7637,70.5932,69.6454
68.9308,70.7934,69.6454
69.0833,70.8116,70.1194
69.3741,71.8269,70.5227
69.6454,71.8269,70.5227
69.8135,71.8269,70.7934
70.1205,72.0826,70.9544
70.2512,72.0826,71.8269
70.5869,72.1138,71.8269
70.7841,72.2999,71.8269
70.9098,72.4619,72.0111
70.9832,72.477,72.0111
71.1036,72.549,72.0111
71.2454,73.0513,72.4619
71.371,73.0513,72.4619
71.5356,73.154,72.4619
71.62,73.154,72.549
71.7739,73.154,72.549
71.8566,73.154,73.0513
72.0263,73.154,73.0513
72.059,73.1691,73.154
72.106,73.1691,73.154
72.1783,73.1691,73.154
72.1865,73.1691,73.154
72.1768,73.1691,73.1691
72.1427,73.1691,73.1691
72.15,73.1691,73.1691
72.1119,73.1691,73.1691
72.2101,73.1691,73.1691
72.1296,73.1691,73.1691
72.1205,73.1691,73.1691
72.1498,73.1691,73.1691
72.0508,73.1691,73.1691
72.1293,73.3127,73.1691
72.1344,73.3127,73.1691
72.1854,73.3127,73.1691
72.1217,73.3127,73.1691
72.2016,73.4279,73.1691
72.1897,73.4279,73.1691
72.1126,73.4279,73.1691
72.2024,73.4279,73.3127
72.3113,73.4279,73.3127
72.2734,73.4279,73.3127
72.3391,73.4279,73.4279
72.3454,73.4279,73.4279
72.397,73.4279,73.4279
72.4832,73.4279,73.4279
72.3337,73.4279,73.4279
72.3515,73.4279,73.4279
72.4257,73.4279,73.4279
72.4272,73.4279,73.4279
72.4097,73.4279,73.4279
72.3865,73.4279,73.4279
72.4294,73.4279,73.4279
72.3985,73.4279,73.4279
72.3648,73.4279,73.4279
72.3203,73.4279,73.4279
72.282,73.4279,73.4279
72.2682,73.4279,73.4279
72.3593,73.5007,73.4279
72.3286,73.5007,73.4279
72.3544,73.5007,73.4279
72.3252,73.4279,73.4279
72.4284,73.4279,73.4279
72.3878,73.4279,73.4279
72.2869,73.4279,73.4279
72.3016,73.4279,73.4279
72.3931,73.4279,73.4279
72.4202,73.4279,73.4279
72.4079,73.4279,73.4279
72.3983,73.4279,73.4279
72.3792,73.5007,73.4279
72.3325,73.5007,73.4279
72.4104,73.5007,73.4279
72.4114,73.5007,73.4279
72.341,73.8398,73.4279
