Average Fitness,Maximum Fitness,Dominant Fitness
50.5901,60.3778,41.9342
54.0413,60.3778,54.7604
56.3931,61.887,56.2269
58.3318,62.8913,59.7711
59.9781,63.2549,60.3778
61.062,65.122,61.887
62.0079,65.122,62.8913
62.7474,66.3504,62.8913
63.4914,67.032,64.1676
64.2304,67.0505,65.122
64.9303,68.2569,66.3504
65.5599,68.9805,66.3504
66.1765,69.5333,67.032
66.8738,69.6919,68.2569
67.5544,70.8924,68.2569
67.9953,70.8924,69.4575
68.4827,70.9072,69.4575
68.9334,71.6459,69.5333
69.3912,72.3632,70.698
69.7507,72.3632,70.698
70.0583,72.3866,71.0416
70.496,72.9038,71.4153
70.8403,72.9038,72.1277
71.0565,73.1506,72.1277
71.3167,73.292,72.3493
71.5463,73.6103,72.8804
71.8218,73.6103,72.9038
72.0231,73.8022,72.9038
72.1477,73.8022,73.292
72.3088,74.1707,73.292
72.5284,74.3009,73.8022
72.6632,74.1707,73.8022
72.8493,74.4409,73.8022
72.9428,74.4409,74.1707
72.9819,74.518,74.1707
73.0752,74.518,74.1707
73.1795,74.518,74.1707
73.227,74.518,74.4409
73.3108,74.7168,74.4409
73.3444,74.7168,74.4409
73.3495,74.8977,74.4409
73.4019,75.0796,74.518
73.4338,75.0796,74.518
73.5573,75.0796,74.518
73.6783,75.1665,74.518
73.7516,75.1665,75.0796
73.821,75.1665,75.0796
73.8786,75.1665,75.0796
73.8931,75.1665,75.0796
73.946,75.4815,75.0796
73.9576,75.4815,75.1665
74.0333,75.1682,75.1665
73.9927,75.1682,75.1665
74.0197,75.1682,75.1665
74.0218,75.1682,75.1665
73.9684,75.1682,75.1665
74.0466,75.1682,75.1665
74.0263,75.5464,75.1682
74.0663,75.5464,75.1682
73.9256,75.5464,75.1682
73.9925,75.5464,75.1682
74.0059,75.5464,75.1682
74.1649,75.5464,75.5464
74.2047,75.5464,75.5464
74.3236,75.5464,75.5464
74.323,75.5464,75.5464
74.3849,75.5464,75.5464
74.3664,75.8613,75.5464
74.4483,75.8613,75.5464
74.2997,75.8613,75.5464
74.4195,75.8613,75.5464
74.5106,75.8613,75.5464
74.515,75.8613,75.8613
74.5943,75.8613,75.8613
74.7008,75.8613,75.8613
74.6039,75.8613,75.8613
74.6548,75.8613,75.8613
74.6354,75.8613,75.8613
74.5597,75.8613,75.8613
74.633,75.8613,75.8613
74.6998,75.8613,75.8613
74.6613,75.8613,75.8613
74.6269,75.8613,75.8613
74.6698,75.8613,75.8613
74.6387,75.8613,75.8613
74.666,75.8613,75.8613
74.6729,75.8613,75.8613
74.6488,75.8613,75.8613
74.7336,75.8613,75.8613
74.6011,75.8613,75.8613
74.6472,75.8613,75.8613
74.6412,75.8613,75.8613
74.6608,75.8613,75.8613
74.6544,75.8613,75.8613
74.6626,75.9061,75.8613
74.658,75.9061,75.8613
74.6728,75.9061,75.8613
74.6494,75.9061,75.8613
74.7081,75.9061,75.8613
74.7573,75.9061,75.8613
