Fitness,Genome
58.3412,0111100110011011010101000100100110001100001100110010001010000010000100011010111101000000011000110111
58.9571,0111100110011011010101000100100110001100001100110010000010000010000100011010111101000010011000110111
59.9141,0111100110011011011101000100100110001100001100110010000010000010001100011010011101000010011000110111
61.3081,0011101101110000111000111011011010001101101110010011011100011001110001100111110111100001100011000111
61.7717,0001101101110000111000111011011010001101101110010011011100011001110001100111110111100001100011000111
62.692,0011100110001111000111111011111110000100101110000010100010011011001001110011001110100011010110011111
64.0711,1010100100000001000101101100001100110011100011000111110000111001110000011111000011100110010011110100
64.5469,1010100111000001100101101100001100110011100011000111110000111001110000011111000011100110010011110100
64.9649,1010110111000001100101101100001100110011100011000111110000111001111000011111000010100110010011110100
65.9509,1010110111000001100101101100001100110011100011001111110000111001111000011111000010100110010011110100
65.9509,1010110111000001100101101100001100110011100011001111110000111001111000011111000010100110010011110100
66.3736,0110100110001111000111111011111100100101101011000010100000011010001001100011011110100011110110110111
66.9207,1010100101000001000101001100001100110011100011100011110000111001110000011111000011100110010010100100
67.7301,1010110111000001100101101100001100110011100011101111110000111001111000011111000010100110010000110100
68.3825,1010100101000001011111101100001100110011101011001111110000111001100010111111000011100110010000110100
68.3825,1010100101000001011111101100001100110011101011001111110000111001100010111111000011100110010000110100
68.7761,1010100101000001011111111100001100110011101011001111110000111001100010111111100011100110010000110100
69.3883,0011100110001111100101011011111100000100101100010010100000011011010010110011011011100001010110010111
69.3883,0011100110001111100101011011111100000100101100010010100000011011010010110011011011100001010110010111
69.3883,0011100110001111100101011011111100000100101100010010100000011011010010110011011011100001010110010111
69.8519,0001100110001111100101011011111100000100101100010010100000011011010010110011011011100001010110010111
70.3949,0111100110001110100101011011111100000100101000010010100000011011010010110011011011100001010110010111
70.3949,0111100110001110100101011011111100000100101000010010100000011011010010110011011011100001010110010111
70.8497,0111100110001111100101011011111100000101101100010010100000011011010110110011011011100001010110010111
70.8497,0111100110001111100101011011111100000101101100010010100000011011010110110011011011100001010110010111
71.0002,0111100000001110100101011011111100000100101000010010100000011011010010110011011011100001010110010111
71.418,0111100110001111100101011011111100000101101000010010100000011011010110110011011011100001010110010111
71.5705,0111100110001110100101011011111100000101101000010011110000011011010010110011011011100001010110010111
71.5705,0111100110001110100101011011111100000101101000010011110000011011010010110011011011100001010110010111
71.5705,0111100110001110100101011011111100000101101000010011110000011011010010110011011011100001010110010111
71.7012,0111100111000111100101011011111100000101101000010010100000011011010110110011011011100001010110010111
71.7012,0111100111000111100101011011111100000101101000010010100000011011010110110011011011100001010110010111
71.8135,0111100110001110100101011011111100000101101000010011110000011011010110110011011011100001010110010111
72.449,0111100111000111100101011011111100000101101000010011110000011011010110110011011011100001010110010111
72.449,0111100111000111100101011011111100000101101000010011110000011011010110110011011011100001010110010111
72.449,0111100111000111100101011011111100000101101000010011110000011011010110110011011011100001010110010111
72.7644,0111100111000111100101011011111100000101101000010011110110011011010110110011011011100001010110010111
72.7644,0111100111000111100101011011111100000101101000010011110110011011010110110011011011100001010110010111
72.7644,0111100111000111100101011011111100000101101000010011110110011011010110110011011011100001010110010111
