Fitness,Genome
58.4327,0001001011101100101101101001111101111101101010101010111101100011110101100000011010010000010000110011
58.7831,0001001011101100101101101011111101111101101010101010111101100011010101100000011010010000010000110011
60.2737,0001001011101100101101101011111101111001101010101010111101100011010101100000011010010000010000110011
60.4008,0110001011001010110001001010011101111111001010001001010011100101110101100111110110011000110110000010
62.255,0001001011101100111101101011111101111001101010101010111101100011010101100000011010010000010000110011
63.1972,0001001011101100111101101011111101111001101010101010111001100011010101100000011010010000010000110001
64.0817,0001001011101100111101101011111101111001101010101010110001100011010101100000011010010000010000110001
64.108,0001001011101100111101101011111111111001101010100010011101100011010101100100011010010000010000110001
65.4898,0001001011101100111101101011111101111001101010101000111001100011000101100100011010010000010000110001
65.6597,0001001011101100111101101011111101111001101011100010011101100011010101100100111010010000011000110001
66.9087,0001001011101100111100101011101101111001101010101010110001100011110101100100011010010000010000110001
67.7882,0001001001111100111101001011111101111001101010100010111011100010010101100100011010010000010000110001
67.7882,0001001001111100111101001011111101111001101010100010111011100010010101100100011010010000010000110001
68.1557,0001001011111100111101001011111101011001101010100010111101100010010101100100011010010000010000110011
68.9569,0001001011101100111101001011111101111001101011100010110001100010010101000000011010010000010000110001
69.1176,0001001011101100111101001011111101111001101011100010110001100010010101000001011010010000010000110001
69.3327,0001001010101110111100101011101101111001101011100010110001100011110101100100011010010000010000110001
69.9433,0001001011101100111101001011111101111001101011100011110001100010010101000000111010010000010000110001
70.174,0001001011101100111101001011111101111001101011100010110001100010110111000000111010010000010000110001
70.3847,0001001010101100111100101011101101011001101011100010110001100011110101100100111010010000010000110001
70.6167,0001001011111100111100101011111101011001101011100010110001100010010101110100011010010000010000110001
70.8281,0001001011101100111101001011111101011001101011100010110001100010110111000000111010010000010000110001
71.1589,0001001011111100111100101011111101011001101011100010110001100010010101100100111010010000010000110001
71.3126,0001001011111100111100101011111101011001101011100010110001100010010101100100111010010000010000010001
71.7337,0001001011111100111101001011111110011001101011100010110001100010010111000001111010010000010000010001
72.0927,0001001011111100111101001011111110011001101011100010110001100010010111001001111010010000010000010001
71.8685,0001001011111100111101001011111110011001101011100010100001100010010111000001111010010000010000010001
71.8685,0001001011111100111101001011111110011001101011100010100001100010010111000001111010010000010000010001
72.1218,0001001011111100111101001011111110011001101011100010100001100010010111000000111010010000010000010001
72.4244,0011001010101110111101001011111110011001101011100010110001100010010111000000111010010000010000010001
72.4244,0011001010101110111101001011111110011001101011100010110001100010010111000000111010010000010000010001
72.4244,0011001010101110111101001011111110011001101011100010110001100010010111000000111010010000010000010001
72.4244,0011001010101110111101001011111110011001101011100010110001100010010111000000111010010000010000010001
72.4594,0011001010101110111101001011111110011001101001100010110001100010010111000000111010010000010000010001
72.5592,0011001010101110111101001011111110011001101011100010100001100010010111000000111010010000010000010001
72.677,0011001010101100111101001011111110011001101011100010110001100010010111000000111010010000010000001001
72.677,0011001010101100111101001011111110011001101011100010110001100010010111000000111010010000010000001001
72.7023,0011001010101010111101001011101110011001101001100010100001100010010111000000111010010000010000010001
72.7202,0011001010101110111101001011101110011001101001100010100001100010010111000000111010010000010000010001
72.7202,0011001010101110111101001011101110011001101001100010100001100010010111000000111010010000010000010001
72.8211,0011001010101110111101001011101110011001101001100010110001100010010111000000111010010000011010010001
72.8649,0011001010101010111101001011101110011001101001110010100001100010010111000000111010010000010000010001
72.8855,0011001010101100111101001011111110011001101011100010110001100010010111000000111010010000010000001011
72.9559,0011001010101110111101001011101110011001101001100010100001100010010111000000111010010000011010010001
72.9836,0011001010101110111101001011101110011001101001110010110001100010010111000000111010010000011010010001
73.0921,0011001010101110111101001011101110011001101001110011110001100010010111000000111010010000011010010001
73.1579,0011001010101110111101001011101110011001101001110010110001100010010111000000111010010001011010010001
73.1579,0011001010101110111101001011101110011001101001110010110001100010010111000000111010010001011010010001
73.2664,0011001010101110111101001011101110011001101001110011110001100010010111000000111010010001011010010001
73.2664,0011001010101110111101001011101110011001101001110011110001100010010111000000111010010001011010010001
73.2927,0011001010101110111101001011101110011001101001110010100001100010010111000000111010010001011010010001
73.2927,0011001010101110111101001011101110011001101001110010100001100010010111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
73.3477,0011001010101110111101001011101110011001101001110010100001100010100111000000111010010001011010010001
