Average Fitness,Maximum Fitness,Dominant Fitness
49.1622,59.4671,39.6769
52.9881,60.0176,53.1121
55.7689,61.1355,59.4671
58.0681,62.4136,59.4671
59.1709,62.4136,59.4671
60.0402,63.6784,60.3468
60.8816,64.4088,62.4136
61.8095,64.6787,62.4136
62.4815,65.6526,63.6784
63.1407,66.0945,63.6784
63.8679,66.9266,65.3247
64.4946,66.9266,65.3247
65.0189,67.2388,66.0945
65.4594,68.0522,66.0945
65.9299,68.5292,67.1774
66.2809,68.7345,67.1774
66.6299,68.9371,67.1774
66.9647,69.2808,67.9182
67.2735,69.2808,68.6247
67.6928,69.6636,68.6247
67.9426,69.8558,68.6247
68.1009,69.8814,69.1378
68.4288,70.4107,69.5521
68.6982,70.6029,69.6636
68.8485,70.6146,69.6636
69.0613,70.7299,70.3943
69.333,71.0194,70.3943
69.5782,71.0194,70.6029
69.5669,71.0916,70.6029
69.6658,71.1463,70.6029
69.7866,71.1463,70.7299
69.8492,71.3495,70.7299
70.0054,71.3495,71.0194
70.0816,71.5063,71.0916
70.1414,71.5063,71.1463
70.2777,72.2124,71.1463
70.27,72.5915,71.3495
70.3253,72.5915,71.3495
70.5632,72.5915,71.3495
70.703,72.6636,71.5063
70.9581,72.6636,71.5063
71.1897,73.3692,72.5915
71.4755,73.3692,72.5915
71.5079,73.3692,72.5915
71.5578,73.5853,72.5915
71.7941,73.5853,72.6636
71.9411,73.8317,73.3692
72.1975,73.8421,73.3692
72.2627,73.8421,73.3692
72.3483,73.959,73.3692
72.4645,73.959,73.5853
72.5081,73.9592,73.5853
72.6035,73.9691,73.8421
72.7115,74.0861,73.8421
72.8036,74.0861,73.959
72.8329,74.0861,73.959
72.9451,74.0861,73.9592
72.9368,74.0861,74.0861
72.9315,74.0861,74.0861
72.8967,74.0861,74.0861
72.8557,74.0861,74.0861
72.8751,74.0861,74.0861
72.9833,74.1703,74.0861
72.958,74.1703,74.0861
72.982,74.1703,74.0861
72.9181,74.1703,74.0861
73.0056,74.2262,74.0861
73.037,74.3281,74.1703
73.0673,74.3281,74.1703
73.0046,74.384,74.1703
73.0791,74.384,74.1703
72.9959,74.384,74.3281
73.0925,74.384,74.3281
73.1285,74.384,74.3281
73.1427,74.384,74.3281
73.1859,74.384,74.384
73.2899,74.384,74.384
73.2597,74.384,74.384
73.2428,74.384,74.384
73.2144,74.384,74.384
73.1942,74.384,74.384
73.2243,74.384,74.384
73.2764,74.384,74.384
73.2211,74.384,74.384
73.2547,74.384,74.384
73.2028,74.384,74.384
73.2751,74.384,74.384
73.2386,74.384,74.384
73.2541,74.384,74.384
73.2529,74.384,74.384
73.2464,74.384,74.384
73.1578,74.384,74.384
73.1968,74.384,74.384
73.2448,74.384,74.384
73.284,74.384,74.384
73.2152,74.384,74.384
73.242,74.384,74.384
73.2921,74.384,74.384
73.2533,74.384,74.384
73.2046,74.384,74.384
