Average Fitness,Maximum Fitness,Dominant Fitness
49.283,59.4865,40.3672
52.8435,59.539,54.7832
55.2463,59.5689,56.611
57.0501,61.3536,59.4865
58.501,62.1293,59.4865
59.6787,62.5702,59.4865
60.6163,63.4183,61.2524
61.344,64.0601,61.9987
62.0274,64.9582,62.6875
62.681,65.3674,62.9943
63.2465,66.3321,64.0601
63.7425,66.4448,64.9582
64.2376,67.0915,64.9582
64.6729,67.0915,64.9582
65.2441,67.4906,66.4448
65.647,67.8592,66.7819
66.1249,68.0037,66.7819
66.3738,68.4883,67.0915
66.6893,69.0886,67.8592
67.0733,69.1635,67.8592
67.4524,69.7132,68.2945
67.7638,70.0228,69.0886
68.1084,70.0228,69.0886
68.3459,70.0463,69.0886
68.5826,70.4462,70.0228
68.8197,70.5387,70.0228
68.9701,70.8174,70.0228
69.2165,70.8174,70.0228
69.3129,70.8906,70.3015
69.438,71.1964,70.5387
69.6807,71.4535,70.8174
69.765,71.4535,70.8174
69.8737,71.4535,70.8174
70.0012,71.6957,70.8174
70.1619,71.8673,71.4535
70.3136,71.8673,71.4535
70.4173,71.909,71.4535
70.4989,72.0604,71.4535
70.5957,72.0604,71.4535
70.6774,72.0604,71.6957
70.8487,72.2629,71.8673
70.9319,72.6276,71.8673
70.9789,72.4345,72.0604
71.085,72.6276,72.0604
71.1452,72.6276,72.0604
71.2171,72.6276,72.1946
71.3101,72.7767,72.1946
71.4519,72.7767,72.4345
71.5513,72.8035,72.6276
71.6532,72.9109,72.6276
71.6923,72.9109,72.6276
71.7332,72.9109,72.7767
71.6869,72.9109,72.7767
71.7827,72.9109,72.7767
71.7635,72.9109,72.9109
71.9014,72.9109,72.9109
71.8676,72.9109,72.9109
71.8406,72.9109,72.9109
71.8525,72.9109,72.9109
71.8056,72.9109,72.9109
71.914,72.9109,72.9109
71.8106,72.9109,72.9109
71.8731,72.9109,72.9109
71.913,72.9109,72.9109
71.8616,72.9109,72.9109
71.8846,72.9109,72.9109
71.8466,72.9109,72.9109
71.8572,72.9109,72.9109
71.8324,72.9109,72.9109
71.9279,72.9109,72.9109
71.8579,72.9109,72.9109
71.8411,72.9109,72.9109
71.8662,72.9109,72.9109
71.8978,72.992,72.9109
71.8433,73.0375,72.9109
71.7666,73.0375,72.9109
71.8711,73.0375,72.9109
71.8962,73.2311,72.9109
71.8678,73.2311,72.9109
71.8763,73.2311,73.0375
72.0041,73.2311,73.0375
71.9251,73.2311,73.0375
72.033,73.359,73.0375
72.0823,73.359,73.2311
72.1467,73.359,73.2311
72.1983,73.359,73.2311
72.3257,73.5413,73.359
72.3663,73.5413,73.359
72.2868,73.6851,73.359
72.3197,73.6851,73.359
72.3111,73.6851,73.359
72.4494,73.6851,73.359
72.3952,73.6851,73.5413
72.4891,73.6851,73.5413
72.59,73.6851,73.6851
72.5854,73.6851,73.6851
72.5616,73.6911,73.6851
72.5611,73.6911,73.6851
72.6015,73.8674,73.6851
72.6074,73.8674,73.6851
