Fitness,Genome
59.4865,0001011011000001101110101110101011001110001100110100000110001011010100101100110100111000110110010111
59.539,0001011011000001101110101110101011001110001100110100000110001011010100101100110100111000110110000111
59.5689,0001011011000001101110101110101011001110001100110100000110001011010110101100110100111000110110010111
61.3536,0001011001000001101110101110101011001110001100110100000110001011010110101100110100111000110110010111
62.1293,0001011001000001101110101110101111101010001100110100000110001011010100101100110100111000110110010111
62.5702,0001011001000001100100101110101011001110001100110100000110001011010110111100110100111000110110010111
63.4183,0001011001000001101100101110101011001110001100110100000110001011010100101100110100111000111110110111
64.0601,0001011001000001100110111110101111101010001100110100000110001011010100101100110100111000110010010110
64.9582,0001011001000001110110111110101111101010001100110100000110001011010100101100110100111000110010010110
65.3674,0001011001000001110110111110101111101010001100111100000110001011010100101100110100111000110010010110
66.3321,0001011001000001101100101110101111001110001100111100100110001011010000101100110100111000111100110011
66.4448,0001011001000001111010111110101000011110001100111100000110001011010100101100111100111000100111000110
67.0915,0001011001000001111010111110101000011110001100111100000110001011010100101100111100111000100011000110
67.0915,0001011001000001111010111110101000011110001100111100000110001011010100101100111100111000100011000110
67.4906,0001011001000001101000111110101111001110001100111100000110001011010000101100110100111000111100110011
67.8592,0001011001000001111000111110101000011110001100111100000110001011010100101100111100111000100011000110
68.0037,0001011001000001111000111110101000011110001100111110000110001011010100101100111100111000100011000110
68.4883,0001011001000001111010111110101000111110001100111100011110001011010100101100111100111000100011000110
69.0886,0001011001000001101000111110101101011110001100111100000110001111010000101100110100111000111100110011
69.1635,0001011001000001111000111110101000111110001100111100011110001011010100101100111100111000110011000110
69.7132,0001011101000001101000111110101000111110001100111100010110001111010100111100111100111000100011000110
70.0228,0001011001000001101000111110101000111110001100111100011110001011010100101100111100111000100011000110
70.0228,0001011001000001101000111110101000111110001100111100011110001011010100101100111100111000100011000110
70.0463,0001011001000001100000111110101000111110001100111100011110001011010100101100111100111000100011000110
70.4462,0001011001000001101000111110101000111110001100111100011110001011010000101100111100111000110011000110
70.5387,0001011001000001101000111110101000111110001100111100011110001011010000101100111100111000100011000110
70.8174,0001011001000001101000111110101000111110001100111100011110001011010000111100111100111000100011000110
70.8174,0001011001000001101000111110101000111110001100111100011110001011010000111100111100111000100011000110
70.8906,0001011001000101101000111110101000111110001100111100011110001011010000111100111100111000100011000110
71.1964,0001011001010101101000111110101000111110001100111100011110001011010000111100111100111000100011000110
71.4535,0001011101010100101000111110101000111110001100111100011110001011010000111100111100111000100011000110
71.4535,0001011101010100101000111110101000111110001100111100011110001011010000111100111100111000100011000110
71.4535,0001011101010100101000111110101000111110001100111100011110001011010000111100111100111000100011000110
71.6957,0001011001000100101000111110101000111110001100011000011110001011010000111100111100111000100011000110
71.8673,0001011101010100101000111110101000111110001100011000011110001011010000111100111100111000100011000110
71.8673,0001011101010100101000111110101000111110001100011000011110001011010000111100111100111000100011000110
71.909,0001011001010100101000111110101000111110001100011000011110001011010000111100111100111000110011000110
72.0604,0001011101010100101000111110101000111110001100011000011110001111010000111100111100111000100011000110
72.0604,0001011101010100101000111110101000111110001100011000011110001111010000111100111100111000100011000110
72.0604,0001011101010100101000111110101000111110001100011000011110001111010000111100111100111000100011000110
72.2629,0001011001000100101000111110101000111110001100011000011110001011010000111010111100111000100011000110
72.6276,0001011101010100101000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.4345,0001011101010100101000111110101000111110001100011000011110001011010000111010111100111000100011000110
72.6276,0001011101010100101000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.6276,0001011101010100101000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.6276,0001011101010100101000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.7767,0001011101010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.7767,0001011101010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.8035,0001011001010100111100111110101000111110001100011000011110001011010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.9109,0001011001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
72.992,0011111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.0375,0001011001010100100000111110101000111110001100011000011000001111010000111010111100111000100011000110
73.0375,0001011001010100100000111110101000111110001100011000011000001111010000111010111100111000100011000110
73.0375,0001011001010100100000111110101000111110001100011000011000001111010000111010111100111000100011000110
73.2311,0111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.2311,0111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.2311,0111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.2311,0111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.2311,0111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.359,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.359,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.359,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.359,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000110
73.5413,1111111001010100100000111110110000111110001100011000011110001111010000111010111100111000100011000110
73.5413,1111111001010100100000111110110000111110001100011000011110001111010000111010111100111000100011000110
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6851,1111111001010100100000111110101000111110001100011000011110001111010000111010111100111000100011000101
73.6911,1111111001010100100000111111100000111110001100011000011110001111010000111010111100111000100011000101
73.6911,1111111001010100100000111111100000111110001100011000011110001111010000111010111100111000100011000101
73.8674,1111111001010100100000111110110000111110001100011000011110001111010000111010111100111000100011000101
73.8674,1111111001010100100000111110110000111110001100011000011110001111010000111010111100111000100011000101
