Average Fitness,Maximum Fitness,Dominant Fitness
48.8809,57.1751,41.2285
52.6511,57.8829,55.3694
54.9263,59.8934,55.3694
56.4911,60.2175,56.3877
57.6988,61.1903,58.3607
58.9243,63.2469,58.9909
60.0096,65.1124,60.9067
60.9426,65.1124,62.297
61.9048,66.2411,63.2469
62.8534,66.8056,63.2469
63.7439,66.9262,65.1124
64.5666,68.0609,65.1124
65.143,68.0609,66.2411
65.763,68.5542,66.2411
66.3971,69.3926,67.1794
66.9193,69.7697,68.0609
67.3204,70.4863,68.0609
67.7333,70.5465,68.472
68.2079,70.5465,69.3926
68.6758,71.014,70.2886
69.0647,71.3729,70.2886
69.3558,71.3729,70.4863
69.5835,71.7212,70.4863
69.8957,72.0902,71.014
70.1299,72.0902,71.3729
70.4562,72.2355,71.3729
70.6207,72.5838,71.3729
70.8427,73.0928,72.0902
71.081,73.0928,72.0902
71.2321,73.0928,72.0902
71.3766,73.0928,72.4385
71.5791,73.0928,72.4934
71.7111,73.1754,72.5838
71.8912,73.1754,73.0928
71.9389,73.1754,73.0928
72.0041,73.2031,73.0928
72.1089,73.2031,73.0928
72.1747,73.2031,73.1754
72.1889,73.3598,73.1754
72.193,73.4424,73.1754
72.2129,73.4622,73.1754
72.247,73.4622,73.2031
72.1719,73.4622,73.2031
72.2925,73.4622,73.2031
72.3079,73.4622,73.4424
72.3886,73.4622,73.4424
72.4057,73.4622,73.4424
72.4347,73.4622,73.4622
72.4272,73.6985,73.4622
72.475,73.6985,73.4622
72.4313,73.6985,73.4622
72.431,73.6985,73.4622
72.5026,73.6985,73.4622
72.4635,73.6985,73.6985
72.6001,73.6985,73.6985
72.6697,73.6985,73.6985
72.6568,73.6985,73.6985
72.5811,73.6985,73.6985
72.6496,73.6985,73.6985
72.6479,73.6985,73.6985
72.6712,73.8277,73.6985
72.6365,73.8277,73.6985
72.6479,73.8277,73.6985
72.6774,73.8277,73.6985
72.6279,73.8277,73.6985
72.5992,73.8277,73.6985
72.6343,73.8277,73.6985
72.8081,73.8277,73.8277
72.7383,73.8277,73.8277
72.7529,73.8277,73.8277
72.7247,73.8277,73.8277
72.7396,73.8277,73.8277
72.7401,73.8277,73.8277
72.7679,73.8277,73.8277
72.764,73.8277,73.8277
72.719,73.8277,73.8277
72.8296,73.8277,73.8277
72.8042,73.8277,73.8277
72.7923,74.4909,73.8277
72.7303,74.1694,73.8277
72.7335,74.1694,73.8277
72.759,74.1694,73.8277
72.7669,73.8277,73.8277
72.8,73.8277,73.8277
72.7478,73.8277,73.8277
72.7224,73.8277,73.8277
72.7613,73.8277,73.8277
72.7058,73.8277,73.8277
72.7151,73.8277,73.8277
72.7023,73.8277,73.8277
72.7641,73.8277,73.8277
72.7441,73.8277,73.8277
72.7748,73.8277,73.8277
72.7651,73.8277,73.8277
72.7718,73.8277,73.8277
72.801,73.8277,73.8277
72.7865,73.8277,73.8277
72.7473,74.4909,73.8277
72.6988,74.4909,73.8277
72.7594,74.4909,73.8277
