Average Fitness,Maximum Fitness,Dominant Fitness
51.0558,59.3272,42.7855
54.607,60.0654,54.2679
56.9224,61.091,58.5147
58.5236,62.9291,59.0207
59.5119,62.9291,59.7998
60.5054,63.7148,61.091
61.4399,66.2818,62.1604
62.2827,66.2818,63.0428
63.0499,66.5628,63.5413
63.8811,66.9146,64.2048
64.7351,67.1972,65.9123
65.4993,67.5245,66.5628
65.9148,68.0736,66.5628
66.3733,68.7369,66.9146
66.7674,69.2711,67.3831
67.1679,69.6331,68.0736
67.5082,69.7563,68.3322
67.9023,69.7563,68.7369
68.2289,70.4757,68.7369
68.479,70.6885,69.2032
68.8024,70.7103,69.7563
69.058,70.791,69.7563
69.34,70.9394,70.4757
69.5619,71.1374,70.4757
69.7929,71.5292,70.7103
69.9598,71.614,70.7103
70.1528,71.879,70.7103
70.328,72.011,71.1374
70.4798,72.4317,71.2517
70.6973,72.5878,71.5292
70.8842,72.6731,71.879
71.0367,73.0274,71.879
71.2452,73.3131,72.4317
71.5049,73.3131,72.4317
71.6171,73.4712,72.4317
71.7842,73.6675,72.7459
71.9934,73.6675,73.3131
72.1699,73.6675,73.3131
72.3485,73.9816,73.3131
72.4151,73.9816,73.3131
72.5176,73.9816,73.6675
72.6718,73.9816,73.6675
72.7749,73.9816,73.6675
72.9327,73.9816,73.9816
72.9024,73.9816,73.9816
72.9541,73.9816,73.9816
72.9411,73.9816,73.9816
72.9408,74.0851,73.9816
72.9444,74.0851,73.9816
72.9964,74.0851,73.9816
73.0175,74.0851,73.9816
72.9696,74.0851,73.9816
72.9357,74.0851,73.9816
73.0408,74.0851,73.9816
73.0011,74.0851,74.0851
73.1359,74.0851,74.0851
73.0138,74.0851,74.0851
73.0719,74.0851,74.0851
73.0866,74.0851,74.0851
73.0741,74.0851,74.0851
73.0578,74.0851,74.0851
73.0304,74.0851,74.0851
72.9924,74.0851,74.0851
73.0912,74.0851,74.0851
73.1137,74.0851,74.0851
73.109,74.0851,74.0851
73.0802,74.0851,74.0851
73.0845,74.0851,74.0851
73.0557,74.0851,74.0851
73.0556,74.0851,74.0851
73.1161,74.0851,74.0851
73.0666,74.0851,74.0851
73.0457,74.0851,74.0851
73.052,74.0851,74.0851
73.1147,74.0851,74.0851
73.0891,74.0851,74.0851
73.0373,74.0851,74.0851
73.0414,74.0851,74.0851
73.0577,74.0851,74.0851
73.0504,74.0851,74.0851
73.0889,74.0851,74.0851
73.0171,74.0851,74.0851
73.0812,74.0851,74.0851
73.0698,74.0851,74.0851
73.0833,74.0851,74.0851
73.0472,74.0851,74.0851
73.0099,74.0851,74.0851
73.0149,74.0851,74.0851
73.0423,74.0851,74.0851
73.0328,74.0851,74.0851
73.0106,74.0851,74.0851
73.0356,74.0851,74.0851
73.031,74.0851,74.0851
73.0449,74.0851,74.0851
73.0285,74.1806,74.0851
73.0646,74.1806,74.0851
72.9959,74.1806,74.0851
73.0246,74.1806,74.0851
73.081,74.1806,74.0851
73.0568,74.1806,74.0851
