Average Fitness,Maximum Fitness,Dominant Fitness
48.9161,57.2874,40.4441
52.5982,57.8247,55.6493
54.8991,59.038,55.7147
56.5768,61.0261,57.1043
57.7152,61.1235,57.8247
58.7491,62.3442,58.8912
59.8341,62.675,61.0261
60.7615,63.8122,61.0261
61.4979,64.1681,62.2734
62.2338,64.9668,63.4173
62.8628,65.9316,64.1681
63.3917,67.7762,64.1681
63.9591,67.7814,64.1681
64.497,68.0978,65.1437
65.108,68.3836,67.1131
65.8354,68.6181,67.1131
66.4177,68.6181,67.1131
66.8812,69.2766,68.0978
67.1492,69.2766,68.0978
67.4954,69.2766,68.0978
67.635,69.5371,68.6181
67.8571,69.5417,68.6181
68.0671,69.7133,69.2766
68.3091,70.1007,69.2766
68.4694,70.2265,69.2766
68.5677,70.2265,69.5371
68.7508,70.6064,69.5371
68.9533,70.6064,70.1007
69.0719,70.8299,70.1007
69.1973,71.0779,70.1007
69.361,70.8299,70.1007
69.4968,70.8299,70.6064
69.6105,70.9946,70.6064
69.7411,71.182,70.8299
69.8136,71.182,70.8299
69.8519,71.318,70.8299
69.9449,71.3467,70.9946
69.9941,71.3889,70.9946
70.1032,71.3889,71.182
70.1119,71.3917,71.182
70.2489,71.4826,71.182
70.3326,71.5315,71.318
70.3293,71.7737,71.3514
70.4471,71.7737,71.3889
70.4709,71.9383,71.3889
70.5585,71.9596,71.5161
70.6526,71.9596,71.7737
70.76,72.0641,71.7737
70.8326,72.0641,71.9383
70.9033,72.0854,71.9383
70.9124,72.0854,71.9596
71.0084,72.1351,71.9596
71.021,72.1564,72.0641
71.0092,72.1564,72.0641
71.0647,72.2002,72.0641
71.1216,72.2002,72.0854
71.1382,72.2002,72.1351
71.1539,72.2002,72.1564
71.1744,72.2185,72.1564
71.1305,72.2185,72.1564
71.2418,72.2185,72.2002
71.2016,72.2185,72.2002
71.1851,72.2237,72.2002
71.2072,72.2237,72.2002
71.1727,72.2237,72.2185
71.1635,72.2237,72.2185
71.2076,72.2237,72.2185
71.2435,72.2237,72.2185
71.2152,72.2237,72.2237
71.1964,72.2237,72.2237
71.2282,72.2237,72.2237
71.165,72.2237,72.2237
71.21,72.5693,72.2237
71.248,72.5693,72.2237
71.2361,72.5693,72.2237
71.3003,72.5693,72.2237
71.2526,72.5693,72.2237
71.2486,72.6942,72.2237
71.4558,72.6942,72.5693
71.5085,72.6942,72.5693
71.4781,72.6942,72.5693
71.5566,72.6942,72.5693
71.5965,72.6942,72.6942
71.572,72.6942,72.6942
71.6284,72.6942,72.6942
71.6626,72.6942,72.6942
71.6394,72.8659,72.6942
71.6288,72.8659,72.6942
71.6736,72.8659,72.6942
71.6609,72.8659,72.6942
71.6779,72.8659,72.6942
71.6812,73.1655,72.6942
71.798,73.1655,72.8659
71.7689,73.1655,72.8659
71.8167,73.1655,72.8659
71.8674,73.1655,72.8659
71.9507,73.4889,72.8659
72.0361,73.4889,73.1655
72.1193,73.4889,73.1655
72.1085,73.4889,73.1655
