Average Fitness,Maximum Fitness,Dominant Fitness
50.71,58.883,40.3839
54.383,60.2557,55.6518
56.4051,60.7565,56.9657
57.9767,61.4439,58.746
59.1922,62.1048,60.36
60.2221,63.4781,60.36
61.0169,63.6874,61.4104
61.752,64.7739,62.1048
62.4569,65.6438,63.5067
63.0801,65.98,63.5067
63.7589,66.2572,64.3868
64.397,66.526,65.6438
64.9883,67.8294,65.98
65.4211,67.9794,65.98
65.8655,69.5789,66.1174
66.3975,69.5789,67.4683
66.9723,70.4757,67.9794
67.5581,70.5215,69.5789
68.3213,71.2056,69.5789
68.9511,71.503,69.5789
69.3912,71.8911,70.4757
69.8532,71.8912,70.4757
70.2781,72.1252,71.2056
70.4919,72.2845,71.503
70.7183,72.2845,71.5937
70.958,72.755,71.8911
71.0908,72.755,71.8911
71.2047,72.755,72.2845
71.3429,72.901,72.2845
71.3941,73.1728,72.2845
71.5294,73.1728,72.6727
71.6944,73.509,72.6727
71.7902,73.509,72.6727
71.8697,73.7256,72.901
72.0333,73.8971,72.901
72.191,73.8971,73.509
72.32,73.9512,73.509
72.4449,74.1254,73.509
72.5806,74.1254,73.8971
72.8349,74.205,73.8971
72.9501,74.3421,73.8971
73.0172,74.7546,74.1254
73.0507,74.7546,74.1254
73.1041,74.7546,74.1254
73.2323,74.7546,74.342
73.3419,74.8028,74.342
73.4434,74.9712,74.342
73.5274,74.9712,74.5776
73.6351,74.9712,74.7546
73.694,75.0677,74.7546
73.7873,75.0677,74.9712
73.8356,75.0677,74.9712
73.8074,75.0677,74.9712
73.9071,75.296,74.9712
73.9644,75.3058,74.9712
73.9022,75.3058,75.0677
73.919,75.3158,75.0677
73.9875,75.3255,75.0677
74.1211,75.3255,75.296
74.1771,75.3255,75.3058
74.1948,75.3667,75.3058
74.181,75.3667,75.3058
74.2809,75.584,75.3255
74.2418,75.584,75.3255
74.2443,75.584,75.3255
74.2756,75.584,75.3255
74.2576,75.584,75.3255
74.298,75.6166,75.3255
74.3124,75.6166,75.3667
74.4429,75.8618,75.584
74.5402,75.8618,75.584
74.4989,75.8618,75.584
74.5041,75.8618,75.584
74.5844,75.8618,75.6166
74.6187,75.8618,75.6166
74.6346,75.8815,75.6166
74.6392,76.1117,75.8618
74.773,76.1117,75.8618
74.7937,76.1117,75.8618
74.8407,76.1117,75.8618
74.9536,76.1315,76.1117
74.9564,76.1315,76.1117
75.026,76.1315,76.1117
75.0589,76.1315,76.1117
74.9809,76.1315,76.1117
75.0136,76.1315,76.1315
75.0838,76.1315,76.1315
75.0775,76.1315,76.1315
75.0462,76.1315,76.1315
75.0799,76.1315,76.1315
75.1421,76.1315,76.1315
74.9685,76.1315,76.1315
75.055,76.1315,76.1315
75.0661,76.1315,76.1315
75.0258,76.1315,76.1315
75.0688,76.1315,76.1315
75.0405,76.1315,76.1315
75.033,76.1315,76.1315
75.0537,76.1315,76.1315
75.0431,76.1315,76.1315
